TIMESTAMP,AirTC_Avg,RH,WS,WindDir,WindDir_SDV,Incoming_SW_Avg,Outgoing_SW_Avg,Incoming_LW_Avg,Outgoing_LW_Avg
2020-09-30 12:00:00,15.73,12.13,1.648,159.1,44.72,939,259.3,240.7,496.9
2020-09-30 12:15:00,15.88,12.33,1.951,109.7,57.83,941,262.5,241.9,503.2
2020-09-30 12:30:00,16.14,11.61,1.542,185.3,52.3,945,265.1,241.9,509.1
2020-09-30 12:45:00,16.61,11.6,1.888,138,36.25,937,269.9,243.2,514.1
2020-09-30 13:00:00,16.63,11.67,2.377,167.2,44.32,929,272.6,243.8,513.4
2020-09-30 13:15:00,16.8,10.81,1.596,113.2,40.45,913,258,244.3,519.6
2020-09-30 13:30:00,17.61,10.47,1.68,140,37.19,891,247.4,244.7,522.7
2020-09-30 13:45:00,17.8,10.12,1.771,172,34.18,866,239.5,245.5,522.4
2020-09-30 14:00:00,17.79,9.82,3.181,197,40.54,838,231.9,244.8,515.9
2020-09-30 14:15:00,17.62,9.13,3.274,171.6,39.39,805,222.9,244.4,510
2020-09-30 14:30:00,18.16,8.53,2.589,197.1,52.59,768.7,215.1,244.4,510.4
2020-09-30 14:45:00,18.44,8.59,3.201,198.2,32.36,726.6,204.4,244.2,506.1
2020-09-30 15:00:00,17.87,8.87,3.051,216.9,75.05,681.3,194.7,244.6,500.4
2020-09-30 15:15:00,18.2,8.24,3.56,216.5,39.21,633.9,182.1,243.8,495.3
2020-09-30 15:30:00,18.19,7.75,3.925,218.9,31.3,582.2,169.1,243.1,486.8
2020-09-30 15:45:00,19.04,7.914,2.708,193.9,38.05,529.6,155.5,243.7,485.1
2020-09-30 16:00:00,19.06,8.46,3.632,193.8,67.92,470.4,139.6,243.1,476.8
2020-09-30 16:15:00,18.62,7.262,4.257,204.2,78.75,414.5,124.6,241.4,465.7
2020-09-30 16:30:00,18.65,8.81,4.115,218.3,45.16,355.7,107.9,241.2,460.1
2020-09-30 16:45:00,18.35,8.94,5.796,191,33.65,295.6,90,240.7,447.7
2020-09-30 17:00:00,18.14,8.94,5.658,205.7,42.53,230.8,67.66,239.2,438.1
